"Codice ISTAT","Ente","Indirizzo","C.A.P.","Denominazione comune","Provincia","Email","Email PEC","Fax","U.R.P. email","U.R.P. fax","U.R.P. telefono","Abitanti","Superficie","Perimetro","Altitudine espressa in m. s.l.","Codice catastale","Codice Fiscale","A.T.O.","A.T.S.","Distretto Socio Sanitario","PLUS","Santo patrono","Festività Santo patrono"
"090080","Comune di Telti","Via Kennedy, 2","07020","Telti","Sassari","protocollo@comune.telti.ot.it","protocollo.telti@pec.comunas.it","","affari.generali@comune.telti.ot.it","+39 0789 43580","+39 0789 1712927","2296","83,25","42830,87","326,00","L088","00124140906","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","I domenica di maggio SS. Vittoria e Anatolia","I domenica di maggio SS. Vittoria e Anatolia"
"090081","Comune di Badesi","Via Risorgimento, 15","07030","Badesi","Sassari","info@comunebadesi.ot.it","protocollo.badesi@legalmail.it","+39 079 684585","","","","1857","30,69","33445,67","135,00","M214","82004930903","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","27 giugno Santissimo Cuore di Gesù","27 giugno"
"090082","Comune di Viddalba","Via G. M. Angioi, 5","07030","Viddalba","Sassari","info@viddalba.gov.it","comune.viddalba@legalmail.it","+39 079 5808022","","","","1663","50,41","39283,85","30,00","M259","82005770902","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","8 maggio Madonna di Pompei","8 maggio"
"090083","Comune di Golfo Aranci","Via Libertà, 74","07020","Golfo Aranci","Sassari","salvatore.zizi@comune.golfoaranci.ot.it","protocollo@pec.comune.golfoaranci.ss.it","+39 0789 612914","","","","2468","37,43","67302,11","2,00","M274","91008140906","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","19 marzo San Giuseppe","19 marzo"
"090084","Comune di Loiri Porto San Paolo","Viale Dante, 28","07020","Loiri Porto San Paolo","Sassari","staffsindaco@comune.loiriportosanpaolo.ot.it","protocollo.loiriportosanpaolo@legalmail.it","+39 0789 41016","","","","3623","118,52","61797,35","100,00","M275","00336160908","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","6 dicembre San Nicola di Bari ","6 dicembre"
"090085","Comune di Sant'Antonio di Gallura","Piazza Matteo Ruzittu, 1","07030","Sant'Antonio di Gallura","Sassari","finanziario@comune.santantoniodigallura.ot.it","protocollo.santantoniodigallura@pec.comunas.it","","","","","1492","81,69","50420,63","355,00","M276","91027260909","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","ultima domenica di settembre Sant'Antonio abate","ultima domenica di settembre Sant'Antonio abate"
"090086","Comune di Tergu","Piazza Autonomia, 1","07030","Tergu","Sassari","vigili@comuneditergu.it","protocollo.tergu@legalmail.it","+39 079 476131","","","","609","36,88","32698,35","280,00","M282","92002270905","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","8 settembre Natività di Maria Vergine","8 settembre"
"090087","Comune di Santa Maria Coghinas","Piazza A. Moro, 2","07030","Santa Maria Coghinas","Sassari","protocollo@comunesmcoghinas.it","protocollo@pec.comunesmcoghinas.it","+39 079 5851441","","","","1368","22,97","26128,36","78,00","M284","92009700904","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","III domenica di settembre Madonna delle Grazie","III domenica di settembre Madonna delle Grazie"
"090088","Comune di Erula","Via Nazionale, 35","07030","Erula","Sassari","comunedierula@libero.it","protocollo@pec.comunedierula.it","+39 079 575398","","","","725","39,31","34799,42","457,00","M292","91007430902","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","ultima domenica di maggio Cuore Immacolato di Maria","ultima domenica di maggio Cuore Immacolato di Maria"
"090089","Comune di Stintino","Via Torre Falcone, 26","07040","Stintino","Sassari","info@comune.stintino.ss.it","protocollo@pec.comune.stintino.ss.it","+39 079 522040","","","","1581","59,04","74207,70","9,00","M290","01391300900","Nurra","","Distretto di Sassari","PLUS - Distretto di Sassari","8 settembre Beata Vergine della Difesa","8 settembre"
"090090","Comune di Padru","Viale Italia, 13","07020","Padru","Sassari","amministrazione@comune.padru.ot.it","protocollo@pec.comune.padru.ss.it","+39 0789 45809","","","","2107","158,00","56932,89","171,00","M301","90004050903","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","29 settembre San Michele Arcangelo","29 settembre"
"090091","Comune di Budoni","Piazza Giubileo, 1","07051","Budoni","Sassari","info@comune.budoni.ot.it","protocollo@pec.comune.budoni.ot.it","+39 0784 844420","info@comune.budoni.ot.it","","","5299","55,57","42082,16","16,00","B248","00152340915","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","29 agosto San Giovanni Battista (il Martirio)","29 agosto"
"090092","Comune di San Teodoro","Via Grazia Deledda, snc","07052","San Teodoro","Sassari","info@comunesanteodoro.gov.it","protocollo@pec.comunesanteodoro.it","+39 0784 865192","","","","5026","107,60","76872,76","15,00","I329","80003270917","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","9 novembre San Teodoro","9 novembre"
"091001","Comune di Aritzo","Corso Umberto I","08031","Aritzo","Nuoro","info@comune.aritzo.nu.it","protocollo@pec.comune.aritzo.nu.it","+39 0784 629293","","","","1266","75,58","56273,03","800,00","A407","00160010914","Gennargentu","","Distretto di Sorgono","PLUS - Distretto di Sorgono","8 maggio San Michele Arcangelo","8 maggio"
"091002","Comune di Arzana","Via Mons. Virgilio, 55","08040","Arzana","Nuoro","resp.amministrativo@comune.arzana.og.it","comunearzana@pec.it ","+39 0782 37847","resp.amministrativo@comune.arzana.og.it","","","2322","162,49","109746,61","672,00","A454","82000990919","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091003","Comune di Atzara","Via Vittorio Emanuele, 37","08030","Atzara","Nuoro","info@comune.atzara.nu.it","protocollo@pec.comune.atzara.nu.it","+39 0784 65380","","","","1081","35,92","38824,70","543,00","A492","00162890917","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","13 novembre Sant'Antioco martire","13 novembre"
"091004","Comune di Austis","Corso Vittorio Emanuele, 20","08030","Austis","Nuoro","austis.comune@gmail.com","austis.comune@cert.ollsys.it","+39 0784 67058 ","","","","778","50,81","39384,82","737,00","A503","00180590911","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","III domenica di settembre Sant'Antonio da Padova ","III domenica di settembre Sant'Antonio da Padova "
"091005","Comune di Bari Sardo","Via Cagliari, 90","08042","Bari Sardo","Nuoro","protocollo@comunedibarisardo.it ","protocollo@pec.comunedibarisardo.it","+39 0782 28065","","","","3973","37,43","28841,76","50,00","A663","82001410917","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","8 settembre Beata Vergine del Monserrato","8 settembre"
"091006","Comune di Baunei","Via San Nicolò, 2","08040","Baunei","Nuoro","info@comunedibaunei.it","protocollo@pec.comunedibaunei.it","+39 0782 610385","","","","3564","211,90","89299,32","480,00","A722","82001690914","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","6 dicembre San Nicola di Bari","6 dicembre"
"091007","Comune di Belvì","Via Roma, 17","08030","Belvì","Nuoro","info@comune.belvi.nu.it","comune.belvi@legalmail.it","+39 0784 629551","","","","577","18,10","25204,42","660,00","A776","00161980917","Gennargentu","","Distretto di Sorgono","PLUS - Distretto di Sorgono","28 agosto Sant'Agostino","28 agosto"
"091008","Comune di Birori","Via IV Novembre, 4","08010","Birori","Nuoro","info@comune.birori.nu.it","protocollo@pec.comune.birori.nu.it","+39 0785 72990","","","","511","17,33","25299,99","450,00","A880","00157770918","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","30 novembre Sant'Andrea Apostolo","30 novembre"
"091009","Comune di Bitti","Piazza Asproni, 47","08021","Bitti","Nuoro","info@comune.bitti.nu.it","protocollo@pec.comune.bitti.nu.it","+39 0784 414308","","","","2735","215,37","102307,91","548,00","A895","80006550919","Baronia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","23 aprile San Giorgio","23 aprile"
"091010","Comune di Bolotana","Piazza Del Popolo, 2","08011","Bolotana","Nuoro","info@comune.bolotana.nu.it ","protocollo@pec.comune.bolotana.nu.it","+39 0785 450224","","","","2526","108,44","57943,38","472,00","A948","00052840915","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","29 giugno San Pietro Apostolo","29 giugno"
"091011","Comune di Borore","Via Roma, 76","08016","Borore","Nuoro","info@comune.borore.nu.it","protocollo@pec.comune.borore.nu.it	","+39 0785 86751","","","","2038","42,68","55155,34","390,00","B056","00155020910","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","21 agosto San Lussorio","21 agosto"
"091012","Comune di Bortigali","Via Umberto I, 6","08012","Bortigali","Nuoro","amministrativo@comune.bortigali.nu.it","protocollo@pec.comune.bortigali.nu.it","+39 0785 80131","","","","1286","67,33","50353,65","510,00","B062","00157780917","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","2 agosto Santa Maria degli Angeli ","2 agosto"
"091016","Comune di Desulo","Via Lamarmora, 73","08032","Desulo","Nuoro","info@comune.desulo.nu.it","comune.desulo@anutel.it","+39 0784 619855","","","","2219","74,50","45834,17","891,00","D287","81000250910","Gennargentu","","Distretto di Sorgono","PLUS - Distretto di Sorgono","17 gennaio Sant'Antonio abate","17 gennaio"
"091017","Comune di Dorgali","Viale Umberto, 37","08022","Dorgali","Nuoro","protocollo@comune.dorgali.nu.it","protocollo@pec.comune.dorgali.nu.it	","+39 0784 94288","","","","8534","226,54","95433,08","387,00","D345","00160210910","Supramonte","","Distretto di Nuoro","PLUS - Distretto di Nuoro","25 novembre Santa Caterina d'Alessandria","25 novembre"
"091018","Comune di Dualchi","Via Parini, 1","08010","Dualchi","Nuoro","protocollo@comune.dualchi.nu.it","protocollo@pec.comune.dualchi.nu.it, protocollo.dualchi@pec.comunas.it","+39 0785 44902","","","","598","23,41","22579,50","321,00","D376","00155030919","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","6 novembre San Leonardo","6 novembre"
"091019","Comune di Elini","Via Pompei, 27","08040","Elini","Nuoro","affarigenerali@comunedielini.it","protocollo@pec.elini.nu.it","+39 0782 33733","comunedielini@tiscali.it","0782 33733","0782 33069","551","10,65","22583,87","450,00","D395","82001050911","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","25 ottobre San Gavino","25 ottobre"
"091024","Comune di Fonni","Via San Pietro, 4","08023","Fonni","Nuoro","info@comunefonni.gov.it","protocollo.fonni@legalmail.it","+39 0784 591319","","","","3834","112,27","49156,68","1000,00","D665","00169690914","Gennargentu","","Distretto di Nuoro","PLUS - Distretto di Nuoro","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091025","Comune di Gadoni","Piazza Santa Maria, 1","08030","Gadoni","Nuoro","info@comune.gadoni.nu.it","protocollo@pec.comune.gadoni.nu.it","+39 0784 625933","","","+39 0784 625933","748","43,44","40484,63","696,00","D842","00160510913","Gennargentu","","Distretto di Sorgono","PLUS - Distretto di Sorgono","29 luglio Santa Maria","29 luglio"
"091026","Comune di Gairo","Via Della Libertà, 7","08040","Gairo","Nuoro","protocollo@comune.gairo.og.it","protocollo@pec.comune.gairo.og.it","+39 0782 73420","","","","1370","77,49","70979,13","800,00","D859","00160250916","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","18 agosto Sant'Elena Imperatrice","18 agosto"
"091027","Comune di Galtellì","Piazza Santissimo Crocifisso","08020","Galtellì","Nuoro","protocollo@comune.galtelli.nu.it ","protocollo@pec.comune.galtelli.nu.it","+39 0784 90572","","","","2442","56,53","43633,75","40,00","D888","80003250919","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","3 maggio Santissimo Crocifisso","3 maggio"
"091028","Comune di Gavoi","Piazza Santa Croce, 1","08020","Gavoi","Nuoro","info@comune.gavoi.nu.it","protocollo@pec.comune.gavoi.nu.it","+39 0784 53263","","","","2586","38,06","37648,49","777,00","D947","80005190915","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","25 ottobre San Gavino","25 ottobre"
"091031","Comune di Girasole","Via Nazionale, 21","08040","Girasole","Nuoro","comgirasole@tiscali.it","protocollo.girasole@pec.comunas.it","+39 0782 668975","","","","1321","13,16","17055,07","6,00","E049","82000850915","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","8 settembre Madonna di Monserrato","8 settembre"
"091032","Comune di Ilbono","Via Elini, 5","08040","Ilbono","Nuoro","info@comune.ilbono.og.it","protocollo@pec.comune.ilbono.og.it","+39 0782 33760","","","","2091","31,13","30037,44","400,00","E283","00133930917","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091033","Comune di Irgoli","Via Roma, 2","08020","Irgoli","Nuoro","protocollo@comune.irgoli.nu.it","pec.comune.irgoli@legalmail.it","+39 0784 97188","","","","2278","75,30","39719,15","26,00","E323","80005110913","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","6 dicembre San Nicola di Bari","6 dicembre"
"091035","Comune di Jerzu","Via Vittorio Emanuele, 160","08044","Jerzu","Nuoro","protocollo@comune.jerzu.og.it","protocollo@pec.comune.jerzu.og.it","+39 0782 70681","","","","3147","102,41","65673,72","420,00","E387","00152050910","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","2 giugno Sant'Erasmo","2 giugno"
"091037","Comune di Lanusei","Via Roma, 95","08045","Lanusei","Nuoro","info@comunedilanusei.it","protocollo.lanusei@pec.comunas.it","+39 0782 473159","","","","5283","53,17","58236,74","620,00","E441","00139020911","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","22 luglio Santa Maria Maddalena","22 luglio"
"091038","Comune di Lei","Piazza Kennedy, 1","08010","Lei","Nuoro","info@comune.lei.nu.it","protocollo@pec.comune.lei.nu.it","+39 0785 40703","","","","490","19,11","25345,31","457,00","E517","00154860910","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","29 giugno San Pietro Apostolo","29 giugno"
"091039","Comune di Loceri","Via Roma, 18","08040","Loceri","Nuoro","info@comuneloceri.gov.it","protocollo@pec.comuneloceri.it","+39 0782 77382","","","","1300","19,37","38401,51","206,00","E644","00163510910","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","29 giugno San Pietro Apostolo martire","29 giugno"
"091040","Comune di Loculi","Via Cairoli, 12","08020","Loculi","Nuoro","info@comune.loculi.nu.it","protocollo@pec.comune.loculi.nu.it","+39 0784 978200 ","","","","501","38,15","26329,37","26,00","E646","80006160917","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","18 gennaio San Pietro","18 gennaio"
"091041","Comune di Lodè","Corso Villanova, 8","08020","Lodè","Nuoro","info@comune.lode.nu.it","protocollo@pec.comune.lode.nu.it","+39 0784 899627","","","","1614","123,45","64967,13","345,00","E647","80005430915","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","13 giugno Sant'Antonio","13 giugno"
"091042","Comune di Lotzorai","Piazza Repubblica, 5","08040","Lotzorai","Nuoro","ufficio.segr@tiscali.it","protocollo.lotzorai@pec.comunas.it","+39 0782 669648","","","","2124","16,87","20210,11","16,00","E700","82001270915","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","18 agosto Sant'Elena Imperatrice","18 agosto"
"091043","Comune di Lula","Via Dei Mille, 11","08020","Lula","Nuoro","protocollo@comune.lula.nu.it","protocollo@pec.comune.lula.nu.it","+39 0784 416427","","","","1318","148,72","72103,86","521,00","E736","80004550911","Nuorese","","Distretto di Nuoro","PLUS - Distretto di Nuoro","15 agosto Assunzione Beata Vergine Maria","15 agosto"
"091044","Comune di Macomer","Corso Umberto I","08015","Macomer","Nuoro","info@comune.macomer.nu.it","protocollo@pec.comune.macomer.nu.it","+39 0785 72895","","","","9786","122,77","94789,38","550,00","E788","83000270914","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","27 luglio San Pantaleo","27 luglio"
"091046","Comune di Mamoiada","Corso Vittorio Emanuele III, 50","08024","Mamoiada","Nuoro","info@comune.mamoiada.nu.it","protocollo.mamoiada@pec.comunas.it","+39 0784 56700 ","","","","2472","48,83","31328,25","650,00","E874","93002340912","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","17 gennaio Sant'Antonio abate","17 gennaio"
"091047","Comune di Meana Sardo","Piazza IV Novembre, 2","08030","Meana Sardo","Nuoro","amministrativo@comunemeanasardo.it","protocollo@pec.comunemeanasardo.gov.it, meana@pec.comune.meanasardo.nu.it","+39 0784 64203","","+39 0784 64203","+39 0784 64362","1691","73,80","50943,03","600,00","F073","00161820915","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","24 agosto San Bartolomeo Apostolo","24 agosto"
"091050","Comune di Noragugume","Piazza IV Novembre, 1","08010","Noragugume","Nuoro","info@comune.noragugume.nu.it","protocollo@pec.comune.noragugume.nu.it","+39 0785 44799","info@comune.noragugume.nu.it","","","289","26,73","28444,49","310,00","F933","83000470910","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","25 luglio San Giacomo","25 luglio"
"091051","Comune di Nuoro","Via Dante, 44","08100","Nuoro","Nuoro","anagrafe@comune.nuoro.it","protocollo@pec.comune.nuoro.it","+39 0784 216835","","","","35763","192,06","70742,73","550,00","F979","00053070918","Nuorese","","Distretto di Nuoro","PLUS - Distretto di Nuoro","5 agosto Santa Maria della Neve","5 agosto"
"091055","Comune di Oliena","Via Vittorio Emanuele, 4","08025","Oliena","Nuoro","info@comune.oliena.nu.it","protocollo@pec.comune.oliena.nu.it","+39 0784 280206","","","","6904","165,74","60073,93","378,00","G031","00156030918","Supramonte","","Distretto di Nuoro","PLUS - Distretto di Nuoro","31 luglio Sant'Ignazio di Loyola","31 luglio"
"091056","Comune di Ollolai","Via Mazzini, 2","08020","Ollolai","Nuoro","ufficioprotocollo@comune.ollolai.nu.it","protocollo.ollolai@pec.it","+39 0784 51499","","","","1240","27,24","33579,95","960,00","G044","00601080914","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","29 settembre San Michele Arcangelo","29 settembre"
"091057","Comune di Olzai","Corso Vittorio Emanuele, 25","08020","Olzai","Nuoro","info@comune.olzai.nu.it","protocollo@pec.comune.olzai.nu.it","+39 0784 55170","","","","820","69,82","56930,32","471,00","G058","80004790913","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091058","Comune di Onanì","Via Roma, 27","08020","Onanì","Nuoro","protocollo@comune.onani.nu.it ","protocollo@pec.comune.onani.nu.it","+39 0784 410101","","","+39 0784 410023","372","71,97","63100,76","482,00","G064","80003810910","Nuorese","","Distretto di Nuoro","PLUS - Distretto di Nuoro","Sacro Cuore di Gesù 28 giugno 2019 (la festività è subordinata alla data della Pasqua, può variare dal 29 maggio al 2 luglio)","Sacro Cuore di Gesù 28 giugno 2019 (la festività è subordinata alla data della Pasqua, può variare dal 29 maggio al 2 luglio)"
"091059","Comune di Onifai","Via Municipio, 17","08020","Onifai","Nuoro","info@comune.onifai.nu.it, sindaco@comune.onifai.nu.it","protocollo@pec.comune.onifai.nu.it, amministrativo@pec.comune.onifai.nu.it","+39 0784 97278","","","","719","43,19","33286,24","25,00","G070","80006610911","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","20 gennaio San Sebastiano","20 gennaio"
"091060","Comune di Oniferi","Piazza del Popolo,4","08020","Oniferi","Nuoro","info@comune.oniferi.nu.it","segreteria@pec.comune.oniferi.nu.it","+39 0784 70204","","","","900","35,67","33833,93","521,00","G071","80005410917","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","25 ottobre San Gavino e 26 luglio Sant'Anna (coopatrona)","25 ottobre e 26 luglio"
"091061","Comune di Orani","Piazza Italia, 7","08026","Orani","Nuoro","segreteria@comune.orani.nu.it","protocollo@pec.comune.orani.nu.it","+39 0784 74868","","","","2806","130,43","82927,15","521,00","G084","80005130911","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","30 novembre Sant'Andrea","30 novembre"
"091062","Comune di Orgosolo","Via Sas Codinas","08027","Orgosolo","Nuoro","comune@comune.orgosolo.nu.it","protocollo.orgosolo@pec.comunas.it","+39 0784 403143","","","","4117","222,60","72793,18","591,00","G097","93002110919","Supramonte","","Distretto di Nuoro","PLUS - Distretto di Nuoro","29 giugno San Pietro Apostolo","29 giugno"
"091063","Comune di Orosei","Via Santa Veronica, 5","08028","Orosei","Nuoro","segreteria@comune.orosei.nu.it","protocollo@pec.comuneorosei.it","+39 0784 999189 ","","","","7012","91,00","54557,25","19,00","G119","00134670918","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","25 luglio San Giacomo Apostolo","25 luglio"
"091064","Comune di Orotelli","Corso Vittorio Emanuele, 74","08020","Orotelli","Nuoro","protocollo@comune.orotelli.nu.it","protocollo@pec.comune.orotelli.nu.it","+39 0784 79261","","","","1962","61,18","37690,01","406,00","G120","00154850911","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","29 agosto San Giovanni Battista  (il martirio)","29 agosto"
"091066","Comune di Ortueri","Via Cavallotti, 12","08036","Ortueri","Nuoro","protocollo@comune.ortueri.nu.it","protocollo@pec.comune.ortueri.nu.it","+39 0784 66406","","","","1094","38,83","29810,62","585,00","G146","00177790912","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","6 dicembre San Nicola di Bari","6 dicembre"
"091067","Comune di Orune","Piazza Remigio Gattu, 14","08020","Orune","Nuoro","protocollo@comune.orune.nu.it  	 ","protocollo@pec.comune.orune.nu.it","+39 0784 276280","","","","2238","128,45","61388,96","750,00","G147","00161070917","Nuorese","","Distretto di Nuoro","PLUS - Distretto di Nuoro","5 agosto Santa Maria della Neve","5 agosto"
"091068","Comune di Osidda","Piazza Bonapace, 2","08020","Osidda","Nuoro","info@comune.osidda.nu.it","protocollo@pec.comune.osidda.nu.it","+39 079 712635","","","","224","25,68","25176,11","625,00","G154","80006560918","Nuorese","","Distretto di Nuoro","PLUS - Distretto di Nuoro","27 agosto Sant'Angelo martire","27 agosto"
"091069","Comune di Osini","Piazza Europa, 1","08040","Osini","Nuoro","osini@comune.osini.nu.it","protocollo@pec.comune.osini.nu.it","+39 0782 787004","","","","743","39,81","58357,77","623,00","G158","00152060919","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","11 agosto Santa Susanna ","11 agosto"
"091070","Comune di Ottana","Via Libertà, 66","08020","Ottana","Nuoro","protocollo@comune.ottana.nu.it","protocollo@pec.comune.ottana.nu.it","+39 0784 291900","protocollo@comune.ottana.nu.it","","+39 0784 75623","2254","45,07","31744,22","185,00","G191","00150310910","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","terza domenica di maggio San Nicola","terza domenica di maggio San Nicola"
"091071","Comune di Ovodda","Via Sassari, 4","08020","Ovodda","Nuoro","info@comune.ovodda.nu.it","protocollo.ovodda@pec.comunas.it","+39 0784 54475","","","","1596","40,85","28052,66","718,00","G201","80003610914","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","23 aprile San Giorgio martire","23 aprile"
"091072","Comune di Perdasdefogu","Piazza Europa, 1","08046","Perdasdefogu","Nuoro","protocollo@comunediperdasdefogu.com","protocollo@pec.comunediperdasdefogu.com","+39 0782 94190","","","","1825","77,75","43349,87","599,00","G445","82000750917","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","29 giugno San Pietro Apostolo martire","29 giugno"
"091073","Comune di Posada","Via Garibaldi, 4","08020","Posada","Nuoro","info@comune.posada.nu.it","protocollo@pec.comune.posada.nu.it","+39 0784 854084","","","","3085","32,77","27600,95","22,00","G929","93002270911","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","17 gennaio Sant'Antonio abate","17 gennaio"
"091077","Comune di Sarule","Via Emilio Lussu","08020","Sarule","Nuoro","protocollo@comunesarule.nu.it","protocollo.sarule@pec.comunas.it","+39 0784 76505","","","","1664","52,72","41246,19","626,00","I448","80004710911","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","29 settembre San Michele Arcangelo","29 settembre"
"091083","Comune di Silanus","Piazza Municipio","08017","Silanus","Nuoro","info@comune.silanus.nu.it","protocollo.silanus@pec.comunas.it","","","","","2060","47,94","36111,25","439,00","I730","00153320916","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","17 gennaio Sant'Antonio abate","17 gennaio"
"091084","Comune di Sindia","Via Umberto I, 11","08018","Sindia","Nuoro","info@comune.sindia.nu.it","protocollo@pec.comune.sindia.nu.it","","","","","1671","58,57","39178,20","510,00","I748","00164080913","Marghine","","Distretto di Macomer","PLUS - Distretto di Macomer","8 settembre Natività Beata Vergine Maria","8 settembre"
"091085","Comune di Siniscola","Via Roma, 125","08029","Siniscola","Nuoro","info@comune.siniscola.nu.it","protocollo@pec.comune.siniscola.nu.it","+39 0784 878515","","","","11559","196,38","70504,30","42,00","I751","00141070912","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091086","Comune di Sorgono","Corso IV Novembre, 65","08038","Sorgono","Nuoro","comunesorgono@comune.sorgono.nu.it","comune.sorgono@pec.it","+39 0784 60701","","","","1605","56,05","45501,13","688,00","I851","00160130910","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","15 agosto Assunzione Beata Vergine Maria","15 agosto"
"091088","Comune di Talana","Piazza Santa Marta, 2","08040","Talana","Nuoro","protocollo@comune.talana.og.it","protocollo@pec.comune.talana.og.it","+39 0782 645128","","","","975","118,68","59818,72","682,00","L036","82000930915","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","29 luglio Santa Marta","29 luglio"
"091089","Comune di Tertenia","Via Roma, 173","08047","Tertenia","Nuoro","protocollo@comunetertenia.it","protocollo@pec.comunetertenia.it","+39 0782 93009","protocollo.tertenia@pec.comunas.it","","","3907","117,65","55555,57","139,00","L140","82000170918","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","20 gennaio San Sebastiano","20 gennaio"
"091090","Comune di Teti","Corso Italia, 63","08030","Teti","Nuoro","info@comune.teti.nu.it","comuneteti@pec.it","+39 0784 68229","","","","641","43,80","36691,94","675,00","L153","81000970913","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","5 agosto Santa Maria della Neve","5 agosto"
"091091","Comune di Tiana","Vico IV Nazionale, 1","08020","Tiana","Nuoro","aagg@comune.tiana.nu.it","protocollo@pec.comune.tiana.nu.it","+39 0784 69200","","","","466","19,32","26028,13","564,00","L160","81001570910","Mandrolisai","","Distretto di Sorgono","PLUS - Distretto di Sorgono","18 agosto Sant'Elena Imperatrice","18 agosto"
"091093","Comune di Tonara","Viale Della Regione, 12-14","08039","Tonara","Nuoro","info@comunetonara.it","protocollo@pec.comunetonara.it","+39 0784 63246","","","","1888","52,02","33991,50","910,00","L202","00162960918","Gennargentu","","Distretto di Sorgono","PLUS - Distretto di Sorgono","3 agosto San Gabriele","3 agosto"
"091094","Comune di Torpè","Piazza del Municipio, 10","08020","Torpè","Nuoro","info@comune.torpe.nu.it  ","protocollo@pec.comune.torpe.nu.it","+39 0784 829008","","","","2829","91,50","40760,29","24,00","L231","80004730919","Baronia","","Distretto di Siniscola","PLUS - Ambito Territoriale Distretto di Siniscola","8 settembre Natività Beata Vergine Maria","8 settembre"
